ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category4,category1Description,category2Description,category3Description,category4Description,dataTables
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.EventLoopGroupToMultiThreadIoEventLoopGroupRecipes,Replace all `EventLoopGroup`s with `MultiThreadIoEventLoopGroup`,Replaces Netty's `new *EventLoopGroup` with `new MultiThreadIoEventLoopGroup(*IoHandler.newFactory())`.,4,,,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.EventLoopGroupToMultiThreadIoEventLoopGroupRecipes$EpollEventLoopGroupFactoryRecipe,Replace `EpollEventLoopGroup` with `MultiThreadIoEventLoopGroup`,Replace `new EpollEventLoopGroup()` with `new MultiThreadIoEventLoopGroup(EpollIoHandler.newFactory())`.,1,,,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.EventLoopGroupToMultiThreadIoEventLoopGroupRecipes$LocalEventLoopGroupFactoryRecipe,Replace `LocalEventLoopGroup` with `MultiThreadIoEventLoopGroup`,Replace `new LocalEventLoopGroup()` with `new MultiThreadIoEventLoopGroup(LocalIoHandler.newFactory())`.,1,,,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.EventLoopGroupToMultiThreadIoEventLoopGroupRecipes$NioEventLoopGroupFactoryRecipe,Replace `NioEventLoopGroup` with `MultiThreadIoEventLoopGroup`,Replace `new NioEventLoopGroup()` with `new MultiThreadIoEventLoopGroup(NioIoHandler.newFactory())`.,1,,,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.upgrade._3_2_to_4_1_.ChannelSetReadableToAutoRead,Migrate Channel.setReadable(boolean) to Channel.config().setAutoRead(boolean),Replaces `channel.setReadable(x)` with `channel.config().setAutoRead(x)`.,1,_3_2_to_4_1_,Upgrade,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.upgrade._3_2_to_4_1_.RemoveChannelStateEventParameter,Remove ChannelStateEvent parameter from handler methods,"Removes `ChannelStateEvent` parameters from Netty channel handler method declarations, as Netty 4 handler methods no longer take this parameter.",1,_3_2_to_4_1_,Upgrade,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.upgrade._3_2_to_4_1_.ReplaceChannelsFireMessageReceived,Replace Channels.fireMessageReceived(..) with ctx.fireChannelRead(e),"Replaces Netty 3 Channels.fireMessageReceived(channel, message) with Netty 4 ctx.fireChannelRead(message).",1,_3_2_to_4_1_,Upgrade,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.java.netty.upgrade._3_2_to_4_1_.StringEncoderToStandardCharsets,Migrate StringEncoder(String) to StringEncoder(StandardCharsets),"Replaces new StringEncoder(charsetName) with new StringEncoder(StandardCharsets.<constant>) for all standard charsets (US-ASCII, ISO-8859-1, UTF-8, UTF-16BE, UTF-16LE, UTF-16).",1,_3_2_to_4_1_,Upgrade,Netty,Java,,,Recipes to perform [Netty](https://netty.io/) migration tasks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.netty.UpgradeNetty_3_2_to_4_1,Migrates from Netty 3.2.x to Netty 4.1.x,Migrate applications to the latest Netty 4.1.x release.,30,,,,Netty,,,,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""instanceName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-netty,org.openrewrite.netty.UpgradeNetty_4_1_to_4_2,Migrates from Netty 4.1.x to Netty 4.2.x,Migrate applications to the latest Netty 4.2.x release.,10,,,,Netty,,,,,
